text,fraud_status
High-risk subprime loans were misclassified as prime loans to deceive investors.,fraud
Proxy statements provide transparency into major shareholder votes and board decisions.,non-fraud
Regular audits are conducted to ensure compliance with financial data security regulations.,non-fraud
Tax returns were falsified to claim non-existent deductions.,fraud
"Customer payment information was stored insecurely, leading to data breaches.",fraud
The company regularly reviews asset impairment to ensure accurate valuations in financial statements.,non-fraud
Compliance officers ensure adherence to anti-corruption and anti-money laundering regulations.,non-fraud
The company engaged in money laundering through complex offshore transactions.,fraud
Revenue was artificially inflated through backdated contracts.,fraud
Investor presentations provide clear explanations of revenue streams and cost structures.,non-fraud
Payroll expenses are reconciled with employee records to ensure accuracy.,non-fraud
Loan guarantees were secured using forged financial statements.,fraud
Unreported overseas operations concealed additional revenue streams.,fraud
Financial modeling and projections are used to maintain a stable liquidity position.,non-fraud
Bogus transactions were created to show false growth in cash flow.,fraud
Consulting fees paid to shell companies were classified as legitimate business expenses.,fraud
"The company has robust policies to prevent asset misappropriation, ensuring accountability at all levels.",non-fraud
"The company has robust policies to prevent asset misappropriation, ensuring accountability at all levels.",non-fraud
The company's credit rating is regularly reviewed to ensure financial health.,non-fraud
The company hid legal settlement costs from public disclosures.,fraud
Bond issuances and debt financing activities are disclosed in shareholder communications and regulatory filings.,non-fraud
The company engaged in pump-and-dump schemes to benefit top executives.,fraud
Fake online transactions were processed to create artificial sales records.,fraud
Financial modeling and projections are used to maintain a stable liquidity position.,non-fraud
Significant operational losses were masked by reclassifying them as 'one-time' expenses.,fraud
Bribes and kickbacks were disguised as legitimate business payments.,fraud
Bankruptcy proceedings were delayed through manipulated financial reports.,fraud
Undisclosed off-the-books debt was used to finance risky investments.,fraud
Independent auditors conduct external audits to verify financial transparency.,non-fraud
Interest expenses on fraudulent loans were not recorded in financial statements.,fraud
"The company’s physical assets, such as buildings and machinery, are regularly appraised and properly recorded.",non-fraud
Inflated expenses were reported to decrease taxable income artificially.,fraud
Transaction logs are monitored to detect and prevent unauthorized access.,non-fraud
Strict access controls are enforced to prevent unauthorized changes to financial databases.,non-fraud
Data manipulation tactics were used to alter financial reports in online banking systems.,fraud
Multiple fraudulent credit lines were opened to siphon bank funds.,fraud
The company ensures compliance with industry regulations when recognizing revenue from long-term contracts.,non-fraud
"The company adheres to ethical procurement practices, ensuring no unauthorized payments are made.",non-fraud
Compliance officers ensure adherence to anti-corruption and anti-money laundering regulations.,non-fraud
The company issued loans to fake business entities created by insiders.,fraud
Undocumented cash withdrawals were made from corporate accounts.,fraud
"Discounts, returns, and allowances are accounted for in revenue calculations to ensure accuracy.",non-fraud
Foreign income was not disclosed to evade international tax regulations.,fraud
Corporate executives falsified investor presentations to attract funding.,fraud
Personal luxury travel expenses were recorded as business-related costs.,fraud
The company engaged in fraudulent refinancing schemes to hide financial distress.,fraud
The company's credit rating is regularly reviewed to ensure financial health.,non-fraud
Illicit AI-powered trading algorithms were deployed to manipulate market prices.,fraud
Earnings reports were altered to mislead shareholders before a stock sale.,fraud
Used vehicles were valued as brand-new assets to overstate balance sheet figures.,fraud
The company falsely claimed refunds and rebates as additional revenue.,fraud
Funds were transferred to personal accounts under the guise of 'strategic investments.',fraud
Bank borrowings are reconciled with lender statements to confirm accurate reporting.,non-fraud
Company-owned vehicles and equipment are recorded in asset registers with clear usage logs.,non-fraud
The company recorded non-existent real estate holdings to inflate net worth.,fraud
Bond issuances and debt financing activities are disclosed in shareholder communications and regulatory filings.,non-fraud
Exaggerated property values were used to secure larger loans.,fraud
Bank loans were fraudulently secured using falsified financial statements.,fraud
The company regularly conducts earnings calls to update investors on financial results.,non-fraud
The company implements strong cybersecurity protocols to protect financial data.,non-fraud
Multi-factor authentication is used for financial system access to prevent unauthorized transactions.,non-fraud
Fake invoices were generated to create the illusion of increased sales.,fraud
Digital audit logs were altered to cover up unauthorized financial transactions.,fraud
Ransomware attacks were falsely classified as 'IT maintenance expenses.',fraud
Payments were made to nonexistent suppliers and funneled to executives.,fraud
Stock buyback programs are executed based on strategic financial planning and market conditions.,non-fraud
The company reported revenue from contracts that were never finalized.,fraud
Expenses related to unapproved vendor payments were hidden under general business expenses.,fraud
Transfer pricing was manipulated to shift profits to low-tax jurisdictions.,fraud
Revenue was recognized before receiving payment from customers.,fraud
"The company ensures transparency in mergers, acquisitions, and restructuring activities.",non-fraud
Significant loan obligations were kept off the balance sheet to deceive investors.,fraud
