,Customer ID,Age,Gender,Marital Status,Income Level,Education,Occupation,Residential Status,Dependents,Debt-to-Income,Credit_Bureau,last_3months_personal_loan_inq,last_3months_credit_card_inq,last_3months_mortgage_inq,last_6months_personal_loan_inq,last_6months_credit_card_inq,last_6months_mortgage_inq
0,f729f68b-9be3-486f-9e11-652368aec58f,59,Female,Married,Medium,College,Press photographer,Owns house,"(3,)","(0.15,)",455,False,True,True,True,False,False
1,055a1b54-ef42-4346-b793-bf703c83e799,63,Male,Divorced,Low,College,"Buyer, retail",Rents,"(0,)","(0.22,)",833,False,True,True,True,True,False
2,ef9e2e55-5498-4f72-a7b2-fb6a51b675e9,31,Male,Married,High,High School,Orthoptist,Rents,"(2,)","(0.2,)",642,False,False,True,True,False,True
3,5859582d-fdec-4e53-a6c4-71853f1c54cb,62,Male,Divorced,Medium,College,Computer games developer,Owns house,"(0,)","(0.37,)",539,True,True,True,True,False,False
4,5c462e59-a439-46f5-8eb4-874c6f219213,48,Female,Married,Low,High School,Drilling engineer,Living with parents,"(2,)","(0.19,)",848,True,True,False,True,True,True
5,f3910fca-6861-4dc4-986d-daca9ac2798d,44,Male,Divorced,Low,College,Geographical information systems officer,Rents,"(3,)","(0.36,)",602,True,True,True,True,False,False
6,6a11f0b0-8fc3-4825-92d5-bb139086fff0,67,Female,Divorced,Low,College,Building control surveyor,Rents,"(2,)","(0.4,)",746,True,True,False,False,False,True
7,3c344e3a-9cc6-4a2c-ad1c-9a8ad270062c,60,Female,Widowed,Medium,College,Research scientist (medical),Living with parents,"(4,)","(0.24,)",711,True,False,True,True,True,False
8,45c90a9a-3f54-4b59-a42e-ecc28ea2e57a,61,Male,Single,Medium,University,Chiropodist,Rents,"(3,)","(0.4,)",497,False,True,False,True,True,True
9,9259d3de-6ba3-4fb9-af6d-18c7f69fbdca,57,Female,Divorced,Medium,University,"Administrator, arts",Living with parents,"(4,)","(0.31,)",634,True,False,True,False,True,False
10,6ab70bdc-8c64-443f-85ea-0315632c542f,45,Male,Single,High,High School,Veterinary surgeon,Owns house,"(2,)","(0.43,)",415,False,False,True,True,False,True
11,4c006051-a2cd-4fd1-9773-a5eecc399154,41,Female,Married,High,University,Make,Living with parents,"(3,)","(0.34,)",722,True,True,False,False,True,True
12,0a329c05-fbf8-4f5d-abaf-529a972f4559,43,Male,Married,Medium,University,"Administrator, charities/voluntary organisations",Rents,"(2,)","(0.12,)",663,True,True,True,False,False,True
13,a8121841-dda1-4811-8b45-3dcb4deaca71,66,Female,Single,Medium,College,English as a foreign language teacher,Rents,"(3,)","(0.24,)",810,True,True,True,True,True,False
14,8fd90288-c2cc-4e9f-8514-fb420d405d4c,25,Male,Widowed,Medium,College,"Therapist, art",Rents,"(1,)","(0.29,)",685,True,False,True,True,True,True
15,aa7f8c28-0c0e-4fb2-a584-50f8abce869c,30,Male,Divorced,Medium,High School,Museum education officer,Living with parents,"(5,)","(0.21,)",711,True,False,True,True,False,True
16,65549e39-404f-4653-b77e-7322b85be704,66,Female,Married,Medium,College,Psychiatrist,Rents,"(4,)","(0.25,)",520,True,True,False,True,False,True
17,d9e06fef-38e8-4d48-a93b-cd5ddd78d8a1,37,Female,Single,Medium,University,Health physicist,Rents,"(0,)","(0.2,)",782,True,True,True,False,True,True
18,a8076bcb-ea30-48aa-bed4-88240c4c6ec2,29,Male,Divorced,High,University,"Engineer, materials",Owns house,"(2,)","(0.26,)",681,True,False,False,False,False,True
19,71cc1d82-6848-4a97-b89b-ea58e1396f52,40,Female,Single,Medium,High School,"Education officer, environmental",Living with parents,"(5,)","(0.11,)",760,True,False,True,True,True,True
20,886215af-c784-466f-b643-66bc042318e2,20,Male,Single,Medium,University,Equities trader,Owns house,"(5,)","(0.31,)",400,False,True,False,False,False,True
21,10cbce84-0c9d-4966-bb40-52416425f35e,29,Male,Widowed,Low,University,Health and safety adviser,Owns house,"(1,)","(0.2,)",825,True,True,True,False,True,True
22,6645ec9d-8055-4813-8d14-70b61ad76852,42,Female,Married,Medium,High School,Medical secretary,Living with parents,"(2,)","(0.42,)",621,True,True,False,True,True,True
23,661ed67b-60b2-4205-a5a4-855cafc642a1,41,Female,Widowed,Medium,College,"Teacher, secondary school",Living with parents,"(2,)","(0.28,)",477,True,True,False,False,True,True
24,9fb3a903-a09b-4443-963e-a6cb0dfc6db7,55,Female,Married,Low,College,Petroleum engineer,Rents,"(4,)","(0.34,)",619,True,False,False,False,True,False
25,65d8d795-b3ed-471e-afcd-f3c9cc526dba,46,Female,Widowed,Low,University,Ceramics designer,Rents,"(4,)","(0.24,)",541,False,True,True,True,True,True
26,25f031fc-b63e-4551-85d0-7f7dc215177c,67,Male,Divorced,Medium,College,"Sound technician, broadcasting/film/video",Rents,"(2,)","(0.39,)",484,True,False,False,False,True,True
27,397d3524-f008-4d74-8f01-48b17b35f222,25,Female,Married,High,High School,Applications developer,Rents,"(1,)","(0.26,)",654,True,False,False,False,True,True
28,6b260558-dd6b-4524-bbcf-b97b85c8e01f,26,Female,Married,High,High School,Lawyer,Living with parents,"(1,)","(0.46,)",410,False,True,True,True,False,False
29,39bd3a7c-5016-4599-b559-50187bc25f64,47,Female,Widowed,Low,High School,Office manager,Owns house,"(1,)","(0.47,)",446,True,True,True,False,True,True
30,6ae72bdc-7907-4bcb-876a-97dd2962968b,42,Female,Married,Medium,College,Health and safety inspector,Owns house,"(0,)","(0.31,)",497,True,True,False,True,False,True
31,1f6df689-943b-4e82-9966-b212073fe8cd,45,Female,Married,Medium,College,Community arts worker,Rents,"(0,)","(0.19,)",411,True,True,False,False,True,True
32,5d6078d3-8ba5-4fa5-817f-14af082f0277,39,Male,Married,High,High School,Politician's assistant,Rents,"(4,)","(0.13,)",549,True,True,True,True,False,True
33,4ca86ec3-74bf-4f1f-88c2-dd3b17e18545,47,Female,Single,Low,College,Air cabin crew,Rents,"(3,)","(0.22,)",499,True,True,False,False,False,True
34,bc12c72e-692b-4942-89b9-0146a63bc098,55,Male,Divorced,High,College,Publishing rights manager,Owns house,"(0,)","(0.29,)",682,True,True,True,True,True,True
35,4a0e0c4a-ca87-4ea8-9a0e-9d95e72be8c7,51,Female,Widowed,Medium,University,Purchasing manager,Rents,"(2,)","(0.4,)",550,True,True,False,False,True,True
36,ee6fa643-7027-452d-9b25-681bc6707a92,34,Male,Widowed,Low,University,"Journalist, newspaper",Owns house,"(0,)","(0.14,)",814,True,True,True,True,True,False
37,8fef633e-d5b1-40b1-9e07-f40a8a8cfd07,68,Male,Married,High,University,Patent attorney,Living with parents,"(4,)","(0.48,)",566,True,True,True,True,False,True
38,7cf72e1a-8347-4ad5-ab53-c3f4aaf9ecaf,44,Male,Married,Medium,High School,Chief Strategy Officer,Owns house,"(0,)","(0.2,)",428,True,False,True,False,True,False
39,cc84eb90-28e1-44f6-89fb-2c5a68027fe4,29,Female,Married,Medium,High School,"Engineer, control and instrumentation",Owns house,"(1,)","(0.49,)",820,True,True,False,True,True,False
40,d711f5b9-68f1-42f5-b1d1-cc699a0ea5de,67,Male,Single,Medium,High School,Water quality scientist,Living with parents,"(5,)","(0.38,)",845,False,True,True,True,False,True
41,345b9221-25f8-4e38-ad62-9ac1cf0d1382,48,Female,Widowed,High,University,Data scientist,Living with parents,"(5,)","(0.43,)",831,True,False,True,True,False,False
42,29fef2cb-7056-4937-8002-ceba74d68d83,41,Female,Widowed,Medium,High School,Food technologist,Rents,"(3,)","(0.17,)",679,False,True,True,False,True,True
43,7c9450a2-6c17-4fa9-af01-3323dc45a6ec,62,Male,Married,Low,University,Fitness centre manager,Rents,"(4,)","(0.48,)",674,True,True,True,True,True,True
44,e73a4087-da53-4d47-b810-c78e6677e122,34,Male,Single,Medium,College,"Education officer, community",Rents,"(0,)","(0.22,)",661,False,False,True,True,True,True
45,89bae1a4-9d57-4164-857f-24197aa218fa,62,Female,Married,High,College,"Teacher, English as a foreign language",Rents,"(0,)","(0.37,)",790,True,True,False,True,False,True
46,1c153315-7003-402a-9762-4cd0a661531b,52,Male,Single,Medium,High School,Financial planner,Rents,"(0,)","(0.24,)",781,True,False,True,False,True,False
47,290e6503-fa4f-49e2-b721-31568c128d3d,39,Female,Widowed,High,High School,Local government officer,Living with parents,"(3,)","(0.46,)",693,True,True,True,False,True,False
48,948a56ec-0ef7-414b-8bd7-30f08a941083,65,Female,Widowed,High,High School,"Research officer, trade union",Owns house,"(1,)","(0.39,)",474,True,True,True,True,True,True
49,0eab312f-197d-4521-ab6c-68fad800bc60,49,Male,Widowed,Low,University,Educational psychologist,Owns house,"(2,)","(0.16,)",475,True,True,True,False,False,True
50,4197a65d-0558-43a7-9266-b1e361f73456,52,Female,Single,Medium,College,Mental health nurse,Owns house,"(4,)","(0.26,)",765,True,True,False,True,False,False
51,6cc9a354-30de-42cc-ad41-f81d435a674b,20,Male,Single,High,High School,"Conservation officer, nature",Rents,"(2,)","(0.38,)",654,False,True,True,True,False,False
52,a3d76c7b-f201-4ccf-b4af-fb6c0ab64b6d,42,Male,Widowed,Low,University,"Engineer, electronics",Rents,"(1,)","(0.12,)",753,True,False,False,True,False,True
53,8663f254-ca86-4617-ac01-c3d442c300d2,44,Female,Married,High,High School,Television production assistant,Living with parents,"(3,)","(0.23,)",490,True,False,False,True,True,False
54,e09176e9-f690-47e6-9f54-9f5d15fc6422,60,Female,Married,Medium,College,Newspaper journalist,Rents,"(3,)","(0.26,)",563,False,True,True,True,True,True
55,8db58736-a2b7-4c65-ac6f-72b93cc7a0d2,48,Female,Divorced,Medium,High School,Mining engineer,Owns house,"(3,)","(0.1,)",782,False,False,True,False,True,True
56,3e964ff8-44c9-40f4-9e3a-b545a370ce36,44,Male,Widowed,Medium,High School,"Designer, multimedia",Living with parents,"(1,)","(0.44,)",498,False,True,True,True,True,False
57,444d7720-b490-47ce-90ac-812b64e4c614,64,Male,Single,Medium,University,"Radiographer, diagnostic",Owns house,"(3,)","(0.17,)",433,True,False,False,True,True,False
58,f1b9e2dc-7381-45cf-ae91-09f63c1c4b41,49,Female,Single,Medium,College,Brewing technologist,Rents,"(2,)","(0.1,)",538,False,False,True,False,True,True
59,e4938456-8e84-4e8e-9581-a0f5a812f6c6,60,Male,Divorced,High,College,Regulatory affairs officer,Rents,"(1,)","(0.22,)",771,False,False,True,False,False,True
60,3c58e372-91be-4827-a9a2-25f633448c50,53,Female,Single,High,College,"Surveyor, hydrographic",Living with parents,"(5,)","(0.13,)",597,False,False,True,False,True,True
61,1d26f7e2-e11c-4497-950a-987d61b88e53,44,Male,Divorced,Low,University,Occupational hygienist,Owns house,"(2,)","(0.1,)",451,True,False,True,True,False,False
62,08fb52d2-a80c-4bf2-851e-77059c14c1bf,63,Male,Divorced,High,University,Horticultural therapist,Living with parents,"(5,)","(0.12,)",799,True,True,True,True,True,False
